"Feature","Beta coefficient","P value","OR","Lower CI","Upper CI"
"Excitatory Expression",0.651138950186113,5.19461722905527e-170,1.91772377749642,1.83163255054832,2.00784754257295
"Inhibitory Expression",0.604768820122772,3.38770513717537e-179,1.83082890915603,1.75623478290773,1.90837331349311
"Astrocyte Expression",0.403731955526216,2.2441690471971e-105,1.49740252268953,1.44372241543998,1.5524808475412
"Microglia Expression",0.251395704633284,3.3863987258413e-48,1.28581878812836,1.24266867723552,1.32965051302056
"Oligodendrocyte Expression",0.338450315089948,1.17338239871577e-75,1.40277205061918,1.35266239120239,1.45383371255505
"Amygdala expression",0.253929636131515,1.22863232200164e-18,1.28908109634383,1.21807493775461,1.36376172763909
"Basal ganglia expression",0.249840888880406,9.29207014666875e-18,1.28382113021866,1.21244626879495,1.35902827575604
"Cerebellum expression",0.344347060382068,8.81503336718721e-30,1.41106827643042,1.32961019543503,1.49779450081562
"Cortex expression",0.323858173930692,1.66067006054776e-28,1.38245122559174,1.30536332868904,1.46393692780771
"Hippocampus expression",0.257130747455213,6.20337468818201e-19,1.29321420017187,1.22173314854114,1.36846276543337
"Hypothalamus expression",0.246060108507674,5.11130403588039e-17,1.27897644859697,1.20734281139637,1.35456757831243
"Non-brain expression",0.0544798825284689,0.0716039603435926,1.05599123232648,0.99508007335253,1.12032603405568
"Accelerated dorsal expression (D2)",0.100966696164371,0.00043959307928233,1.10623979912149,1.04504732662272,1.16962360794962
"NPC expression (D15)",0.13602986526163,1.14396028279237e-06,1.1457161101953,1.08394681898748,1.20953844802158
"Neural rosette expression (D21)",0.136422570788231,1.29741526830747e-06,1.14616612760007,1.08395140846492,1.2106088398133
"Neuron expression (D77)",0.361000952962594,1.03838074744641e-45,1.43476482815512,1.36459826271351,1.50773837519287
"LOEUF",-1.13715112575801,1.47291117479778e-144,0.320731445062086,0.293661316483545,0.349529830244143
"Synapse localization",1.57036247150723,7.9984245288062e-106,4.80839078259103,4.17246530183016,5.53082589593865
