"Paper","Decile","Genes_in_ASiD_decile","Genes_in_Paper_decile","Intersection","pvalue","p_adjusted"
"Krishnan","1","1691","1691","688",8.55918282930134e-288,3.42367313172054e-286
"Krishnan","2","1691","1691","269",7.91798718407003e-16,3.16719487362801e-14
"Krishnan","3","1691","1691","191",0.0356706080809154,1
"Krishnan","4","1691","1691","182",0.146081207424478,1
"Krishnan","5","1690","1690","167",0.579854978272819,1
"Krishnan","6","1690","1690","168",0.546092488008812,1
"Krishnan","7","1690","1690","190",0.0411139207283637,1
"Krishnan","8","1690","1690","189",0.048971147212986,1
"Krishnan","9","1690","1690","208",0.000656775586295572,0.0262710234518229
"Krishnan","10","1690","1690","105",0.999999997346681,1
"Lin","1","1594","1594","795",0,0
"Lin","2","1593","1593","359",1.93399253581387e-55,7.73597014325548e-54
"Lin","3","1593","1593","250",3.91348730295198e-14,1.56539492118079e-12
"Lin","4","1593","1593","205",5.75023063835968e-05,0.00230009225534387
"Lin","5","1593","1593","224",3.22537731071419e-08,1.29015092428568e-06
"Lin","6","1593","1593","211",6.8192098887565e-06,0.00027276839555026
"Lin","7","1593","1593","212",4.68052547798548e-06,0.000187221019119419
"Lin","8","1593","1593","226",1.29633541010033e-08,5.18534164040132e-07
"Lin","9","1593","1593","268",3.55874293335198e-19,1.42349717334079e-17
"Lin","10","1593","1593","277",5.65007759469321e-22,2.26003103787728e-20
"Duda","1","1651","1651","833",0,0
"Duda","2","1651","1651","367",6.55741442803961e-55,2.62296577121584e-53
"Duda","3","1651","1651","274",1.09328401075814e-18,4.37313604303256e-17
"Duda","4","1651","1651","201",0.00139462991452731,0.0557851965810924
"Duda","5","1651","1651","176",0.183983787860012,1
"Duda","6","1651","1651","196",0.00497177331984835,0.198870932793934
"Duda","7","1651","1651","205",0.000453382365044391,0.0181352946017756
"Duda","8","1651","1651","213",3.61059833944126e-05,0.0014442393357765
"Duda","9","1651","1651","246",2.18182145427289e-11,8.72728581709156e-10
"Duda","10","1650","1650","262",2.09303070443315e-15,8.3721228177326e-14
"Brueggeman","1","1625","1625","677",1.58039767718482e-292,6.32159070873928e-291
"Brueggeman","2","1625","1625","329",1.48575974436358e-39,5.94303897745432e-38
"Brueggeman","3","1625","1625","271",8.51001359409739e-19,3.40400543763896e-17
"Brueggeman","4","1625","1625","204",0.00025837667924302,0.0103350671697208
"Brueggeman","5","1625","1625","187",0.0197404229496116,0.789616917984464
"Brueggeman","6","1625","1625","198",0.00145586440901406,0.0582345763605624
"Brueggeman","7","1624","1624","220",8.23330984940905e-07,3.29332393976362e-05
"Brueggeman","8","1624","1624","234",1.6851751889747e-09,6.7407007558988e-08
"Brueggeman","9","1624","1624","273",1.814045492915e-19,7.25618197166e-18
"Brueggeman","10","1624","1624","373",5.24515976638814e-60,2.09806390655526e-58
