"coef","variable","OR","group"
0,"Astrocyte Expression",1,"Chromatin regulators"
0,"Astrocyte Expression",1,"Chromatin regulators"
0.0323838649853717,"Astrocyte Expression",1.03291392870385,"Chromatin regulators"
0,"Astrocyte Expression",1,"Chromatin regulators"
0.0374275532396869,"Astrocyte Expression",1.0381367847106,"Chromatin regulators"
0.250661950845331,"Excitatory Expression",1.28487565977626,"Chromatin regulators"
0.482675669721498,"Excitatory Expression",1.62040427360825,"Chromatin regulators"
0.371972838740464,"Excitatory Expression",1.45059358080935,"Chromatin regulators"
0.414507702390236,"Excitatory Expression",1.51362540307513,"Chromatin regulators"
0.455192208958823,"Excitatory Expression",1.57647636679603,"Chromatin regulators"
-0.380361480165103,"LOEUF",0.683614251551234,"Chromatin regulators"
-0.783490600595792,"LOEUF",0.456808688438975,"Chromatin regulators"
-0.524999370633535,"LOEUF",0.591555736672041,"Chromatin regulators"
-0.444041805000795,"LOEUF",0.641438604925415,"Chromatin regulators"
-0.604590909752014,"LOEUF",0.546297866062651,"Chromatin regulators"
0,"Microglia Expression",1,"Chromatin regulators"
0,"Microglia Expression",1,"Chromatin regulators"
0,"Microglia Expression",1,"Chromatin regulators"
0,"Microglia Expression",1,"Chromatin regulators"
0.0795410543378285,"Microglia Expression",1.0827900118439,"Chromatin regulators"
0,"Neuron expression (D77)",1,"Chromatin regulators"
0.0365254561737412,"Neuron expression (D77)",1.03720070684309,"Chromatin regulators"
0,"Neuron expression (D77)",1,"Chromatin regulators"
0,"Neuron expression (D77)",1,"Chromatin regulators"
0.0111166082848919,"Neuron expression (D77)",1.0111786273757,"Chromatin regulators"
0,"Oligodendrocyte Expression",1,"Chromatin regulators"
0.0134415143567367,"Oligodendrocyte Expression",1.01353225763069,"Chromatin regulators"
0.0377437241797964,"Oligodendrocyte Expression",1.03846506528744,"Chromatin regulators"
0.0624709838342461,"Oligodendrocyte Expression",1.06446357181831,"Chromatin regulators"
0,"Oligodendrocyte Expression",1,"Chromatin regulators"
