RBPBASEID,Year_Published,Description,Curation_Info,Control,Capture,Technique,Identification,Simplified_Technique,Organism,Type,Cell_line,Source_File,Reference,URL,PMID,Study,Nr_Reported_RBPs_in_Publication
RBPBASE000000007.1,2012,"This is one of the two pioneer studies reporting the unbiased identification of RNA binding proteins. RIC was performed in HEK293 cells yielding ~800 RBPs, about 1/3 of which were novel.",,noCL,polyA,Interactome Capture called mRNP Oligo(dT) Affinity Purification,RNA-binding protein,Mass spectrometry,Hs,Embryonic kidney,HEK293,mmc1.xls,"Baltz, A. G. et al. The mRNA-Bound Proteome and Its Global Occupancy Profile on Protein-Coding Transcripts. Mol Cell 46,
674-690 (2012)",http://doi.org/10.1016/j.molcel.2012.05.021,22681889,Hs_Baltz2012,797
RBPBASE000000008.1,2015,"RIC was applied in this study to human hepatoma cells (HuH7) and S. cerevisiae . The RNA targets of one of the discovered RBPs, HSD17B10, were identified by iCLIP. This protein binds mitochondrial tRNAs, and a mutation-causing disease abrogates the interaction with RNA.",,noCL,polyA,Interactome Capture,RNA-binding protein,Mass spectrometry,Hs,Differentiated hepatocyte derived cellular carcinoma,HuH7,ncomms10127-s3.xlsx,"Beckmann, B. M. et al. The RNA-binding proteomes from yeast to man harbour conserved enigmRBPs. Nat Commun 6, 10127 (2015)",http://doi.org/10.1038/ncomms10127,26632259,Hs_Beckmann2015,729
RBPBASE000000009.1,2012,"This is one of the two pioneer studies reporting the unbiased identification of RNA binding proteins. RIC was performed in Hela cells identifying 860 RBPs, about 1/3 of which were novel.",,noCL,polyA,Interactome Capture,RNA-binding protein,Mass spectrometry,Hs,Cervical cancer,HeLa,mmc1.xls,"Castello, A. et al. Insights into RNA Biology from an Atlas of Mammalian mRNA-Binding Proteins. Cell 149, 1393-1406 (2012)",http://doi.org/10.1016/j.cell.2012.04.031,22658674,Hs_Castello2012,860
RBPBASE000000010.1,2016,"RBDmap, a method for the high-throughput identification of RNA binding domains within RBPs. Peptides adjacent to the actual RNA binding residues are identified. It also draws attention to the prevalence of intrinsically disordered regions in RNA binding in vivo.",RBDmap (375 overlapping with RIC),noCL,polyA,RBDmap,Neighboring peptide,Mass spectrometry,Hs,Cervical cancer,HeLa,mmc2.xlsx,"Castello, A. et al. Comprehensive Identification of RNA-Binding Domains in Human Cells. Mol Cell 63, 696-710 (2016)",http://doi.org/10.1016/j.molcel.2016.06.029,27453046,Hs_Castello2016,529
RBPBASE000000011.1,2016,"Serial interactome capture (serIC) also allows higher specificity, as it includes two tandem RIC procedures separated by enzymatic digestion of contaminating DNA","Excluded from curation of 3,300 RBPs",noCl,polyA from chromatin,Serial RNA interactome capture,RNA-binding protein,Mass spectrometry,Hs,Nuclei of proliferating lymphoblast,K562,ncomms11212-s2.xlsx,"Conrad, T. et al. A. Serial interactome capture of the human cell nucleus. Nat Commun 7, 11212 (2016)",http://doi.org/10.1038/ncomms11212,27040163,Hs_Conrad2016_chr,279
RBPBASE000000012.1,2016,"Serial interactome capture (serIC) also allows higher specificity, as it includes two tandem RIC procedures separated by enzymatic digestion of contaminating DNA",pooled nuclei (part of the 382 mentioned in abstract),noCL,polyA from nuclei,Serial RNA interactome capture,RNA-binding protein,Mass spectrometry,Hs,Nuclei of proliferating lymphoblast,K562,ncomms11212-s2.xlsx,"Conrad, T. et al. A. Serial interactome capture of the human cell nucleus. Nat Commun 7, 11212 (2016)",http://doi.org/10.1038/ncomms11212,27040163,Hs_Conrad2016,343
RBPBASE000000013.1,2014,This article presents the development of a method that assigns RNA-binding sites within RBPs by direct identification of peptides crosslinked to a nucleotide. It was the first unbiased method to identify RNA binding sites in RBPs.,"Cross-links of human RNPs, 35 according to manuscript",noCL,polyA,Photo-cross-linking and high-resolution mass spectrometry,Crosslinked peptide,Mass spectrometry,Hs,Cervical cancer,HeLa,nmeth.3092-S2.xlsx,"Kramer, K. et al. Photo-cross-linking and high-resolution mass spectrometry for assignment of RNA-binding sites in RNA- binding proteins. Nat Methods 11, 1064-1070 (2014)",http://doi.org/10.1038/nmeth.3092,25173706,Hs_Kramer2014,35
RBPBASE000000032.1,2017,peptide crosslinking and affinity purification,"Table S1, Proteins identified",no control,polyA,Peptide Cross-linking and Affinity Purification,Neighboring peptide,Mass spectrometry,Hs,Embryonic kidney,HEK293T,pr7b00042_si_001.xlsx,"Mullari, M., Lyon, D., Jensen, L. J., & Nielsen, M. L. (2017). Specifying RNA-Binding Regions in Proteins by Peptide Cross-Linking and Affinity Purification. Journal of Proteome Research. https://doi.org/10.1021/acs.jproteome.7b00042",https://doi.org/10.1021/acs.jproteome.7b00042,28648085,Hs_Mullari2017,1938
RBPBASE000000033.1,2017,A large-scale biochemical screen identifies a broad layer of RBP-miRNA interactions,large-scale biochemical screen identifies a broad layer of RBP-miRNA interactions,no control,pre-miRNA,Interactome Capture,RNA-binding protein,Mass spectrometry,Hs,Cancer cell lines,"11 different cell lines (B-MCF7, C-DLD1, G-LN229, H-HepG2, J-Jurkat, L-A549, M-SK-Mel28, N-SK-N-MC, P-DU-145, R-Raji, T-NTera2)",1-s2.0-S1097276516000964-mmc3.xlsx,"Treiber, T., Treiber, N., Plessmann, U., Harlander, S., Daiß, J.L., Eichner, N., Lehmann, G., Schall, K., Urlaub, H. and Meister, G., 2017. A compendium of RNA-binding proteins that regulate microRNA biogenesis. Molecular cell, 66(2), pp.270-284.",https://doi.org/10.1016/j.molcel.2017.03.014,28431233,Hs_Treiber2017,180
RBPBASE000000034.1,2018,RNA interactome capture (RIC) in JURKAT,"Unified with RBPBASE000000035.1 for curation of 3,300 RBPs",noCL,polyA,Interactome Capture,RNA-binding protein,Mass spectrometry,Hs,T lymphocyte cells,JURKAT,Supp Table 1,"Perez-Perri, J.I., Rogell, B., Schwarzl, T., Stein, F., Zhou, Y., Rettel, M., Brosig, A. and Hentze, M.W., 2018. Discovery of RNA-binding proteins and characterization of their dynamic responses by enhanced RNA interactome capture. Nature communications, 9(1), pp.1-13.",https://doi.org/10.1038/s41467-018-06557-8,30352994,Hs_Perez-Perri2018-RIC,588
