"coef","variable","OR","group"
0.164939746016739,"Astrocyte Expression",1.17932205771903,"CompRBP"
0.0854996334217861,"Astrocyte Expression",1.08926116204458,"CompRBP"
0.123150824151966,"Astrocyte Expression",1.13105499849453,"CompRBP"
0,"Astrocyte Expression",1,"CompRBP"
0,"Astrocyte Expression",1,"CompRBP"
-0.00870180341121924,"Basal ganglia expression",0.99133594769981,"CompRBP"
-0.0116301483783875,"Basal ganglia expression",0.988437220374809,"CompRBP"
0,"Basal ganglia expression",1,"CompRBP"
0,"Basal ganglia expression",1,"CompRBP"
0,"Basal ganglia expression",1,"CompRBP"
0.0754868926745618,"Excitatory Expression",1.07840909256648,"CompRBP"
0,"Excitatory Expression",1,"CompRBP"
0,"Excitatory Expression",1,"CompRBP"
0,"Excitatory Expression",1,"CompRBP"
0,"Excitatory Expression",1,"CompRBP"
6.34611949353698e-06,"Inhibitory Expression",1.00000634613963,"CompRBP"
0.0996317588560387,"Inhibitory Expression",1.10476402359475,"CompRBP"
0.1649156413153,"Inhibitory Expression",1.17929363085554,"CompRBP"
0.11492386307917,"Inhibitory Expression",1.12178802483441,"CompRBP"
0.202479005395994,"Inhibitory Expression",1.22443437833716,"CompRBP"
-0.769475279578333,"LOEUF",0.463256084475866,"CompRBP"
-0.764085840149206,"LOEUF",0.46575951506753,"CompRBP"
-0.835413277922765,"LOEUF",0.433695207736046,"CompRBP"
-0.585037813121572,"LOEUF",0.557084796298772,"CompRBP"
-0.52426682701334,"LOEUF",0.591989235812059,"CompRBP"
0.0282655932564131,"Microglia Expression",1.02866885565474,"CompRBP"
0,"Microglia Expression",1,"CompRBP"
0,"Microglia Expression",1,"CompRBP"
0,"Microglia Expression",1,"CompRBP"
0,"Microglia Expression",1,"CompRBP"
0.117967800073491,"Neuron expression (D77)",1.12520787917299,"CompRBP"
0,"Neuron expression (D77)",1,"CompRBP"
0,"Neuron expression (D77)",1,"CompRBP"
0,"Neuron expression (D77)",1,"CompRBP"
0,"Neuron expression (D77)",1,"CompRBP"
-0.217628923083522,"Non-brain expression",0.804423889426027,"CompRBP"
-0.015729876866596,"Non-brain expression",0.984393191518047,"CompRBP"
-0.0855109316545474,"Non-brain expression",0.918043107269197,"CompRBP"
0,"Non-brain expression",1,"CompRBP"
0,"Non-brain expression",1,"CompRBP"
0.340818671818537,"Synapse localization",1.40609825250549,"CompRBP"
0.176343616801368,"Synapse localization",1.19284787080735,"CompRBP"
0.221620898910739,"Synapse localization",1.24809813280444,"CompRBP"
0,"Synapse localization",1,"CompRBP"
0,"Synapse localization",1,"CompRBP"
