"coef","variable","OR","group"
0.097410402599688,"Astrocyte Expression",1.10231267278887,"NCRBP"
0.192833795669851,"Astrocyte Expression",1.21268122389821,"NCRBP"
0.117090499869976,"Astrocyte Expression",1.1242211669563,"NCRBP"
0.192023922335739,"Astrocyte Expression",1.21169950330052,"NCRBP"
0.066244991316742,"Astrocyte Expression",1.06848845549651,"NCRBP"
-0.102231118002066,"Basal ganglia expression",0.902820869399132,"NCRBP"
-0.200260899802343,"Basal ganglia expression",0.81851717424888,"NCRBP"
0,"Basal ganglia expression",1,"NCRBP"
0,"Basal ganglia expression",1,"NCRBP"
0,"Basal ganglia expression",1,"NCRBP"
0.141550887822757,"Inhibitory Expression",1.1520591285499,"NCRBP"
0.115292762125045,"Inhibitory Expression",1.12220192770594,"NCRBP"
0.127768674603613,"Inhibitory Expression",1.13629011953015,"NCRBP"
0.0672972644672408,"Inhibitory Expression",1.06961338897469,"NCRBP"
0.136143643378816,"Inhibitory Expression",1.14584647503334,"NCRBP"
-0.472685242207961,"LOEUF",0.623326237093771,"NCRBP"
-0.615894783791255,"LOEUF",0.540157354963598,"NCRBP"
-0.599389481955627,"LOEUF",0.549146797801549,"NCRBP"
-0.603475928885769,"LOEUF",0.54690731743075,"NCRBP"
-0.463419193452447,"LOEUF",0.629128850529299,"NCRBP"
0,"Microglia Expression",1,"NCRBP"
0.0387541239877625,"Microglia Expression",1.03951486045709,"NCRBP"
0.03965830607462,"Microglia Expression",1.04045519622625,"NCRBP"
0,"Microglia Expression",1,"NCRBP"
0,"Microglia Expression",1,"NCRBP"
0,"Neuron expression (D77)",1,"NCRBP"
0.154033483700897,"Neuron expression (D77)",1.16652994586431,"NCRBP"
0.0190378059278724,"Neuron expression (D77)",1.01922018045367,"NCRBP"
0,"Neuron expression (D77)",1,"NCRBP"
0,"Neuron expression (D77)",1,"NCRBP"
0,"Non-brain expression",1,"NCRBP"
-0.191814494674655,"Non-brain expression",0.825459981512032,"NCRBP"
-0.100310275731894,"Non-brain expression",0.904556712494144,"NCRBP"
-0.0760501995970137,"Non-brain expression",0.926769681927076,"NCRBP"
0,"Non-brain expression",1,"NCRBP"
0,"Oligodendrocyte Expression",1,"NCRBP"
0,"Oligodendrocyte Expression",1,"NCRBP"
0.00610254439640391,"Oligodendrocyte Expression",1.00612120285584,"NCRBP"
0.0114509033394299,"Oligodendrocyte Expression",1.0115167158976,"NCRBP"
0.0179975519436809,"Oligodendrocyte Expression",1.01816048387254,"NCRBP"
0.0574838348540481,"Synapse localization",1.05916814890863,"NCRBP"
0.40257161137352,"Synapse localization",1.4956660280886,"NCRBP"
0.0424785462810702,"Synapse localization",1.043393671459,"NCRBP"
0.22514728105696,"Synapse localization",1.25250717318834,"NCRBP"
0,"Synapse localization",1,"NCRBP"
