"variable","Mean","CI_low","CI_high","group"
"Astrocyte Expression",1.02562322803305,0.971821923232992,1.07942453283311,"set4"
"Excitatory Expression",1.13110326434473,1.02321864371872,1.23898788497074,"set4"
"Hippocampus expression",0.996750614341956,0.98772887343678,1.00577235524713,"set4"
"Inhibitory Expression",1.03646447961581,0.937339704978938,1.13558925425267,"set4"
"LOEUF",0.677963909513119,0.60488922194465,0.751038597081588,"set4"
"NPC expression (D15)",1.01490154167384,0.977473535184615,1.04788774926991,"set4"
"Neural rosette expression (D21)",1.01268064222726,0.981155556471671,1.08865044957847,"set4"
"Neuron expression (D77)",1.03490300302507,0.936442819186511,1.01670029163141,"set4"
"Non-brain expression",0.976571555408961,0.9735282292336,1.05627485411409,"set4"
"Synapse localization",1.81345873324423,1.25409796384733,2.37281950264113,"set4"
