"pair","overlap","inAnotB","inBnotA","inNeither","p_value","p_adjusted"
"Decile_1 vs DEG_up",129,1677,1570,12469,2.74999512591856e-08,2.74999512591856e-07
"Decile_2 vs DEG_up",207,1585,1492,12561,0.892563065997418,1
"Decile_3 vs DEG_up",184,1569,1515,12577,0.391224310300959,1
"Decile_4 vs DEG_up",210,1513,1489,12633,0.981959267326629,1
"Decile_5 vs DEG_up",187,1508,1512,12638,0.685934378203412,1
"Decile_6 vs DEG_up",202,1451,1497,12695,0.981822620056387,1
"Decile_7 vs DEG_up",149,1429,1550,12717,0.0438887461973957,0.438887461973957
"Decile_8 vs DEG_up",181,1280,1518,12866,0.985026915869515,1
"Decile_9 vs DEG_up",143,1183,1556,12963,0.552567635646807,1
"Decile_10 vs DEG_up",107,951,1592,13195,0.272865199722041,1
