Gene name	Ensembl ID	Gene description	Canonical RBD	Pfam ID	Protein Domains	Pfam Description	Excitatory Expression	Inhibitory Expression	Astrocyte Expression	Microglia Expression	Oligodendrocyte Expression	Amygdala expression	Basal ganglia expression	Cerebellum expression	Cortex expression	Hippocampus expression	Hypothalamus expression	Non-brain expression	Accelerated dorsal expression (D2)	NPC expression (D15)	Neural rosette expression (D21)	Neuron expression (D77)	CBC protein expression	MD protein expression	STR protein expression	AMY protein expression	HIP protein expression	V1C protein expression	DFC protein expression	LOEUF	Synapse localization	Autism susceptibility
A1CF	ENSG00000148584	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	1	PF00076|PF14709	RRM_1|DND1_DSRM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1	0	0	0	0	0	0	0.00646633269327101	0.0307654678725144	0.00929369193172435	0.00529905664470335	0.0119391135206567	0.020605317205086	0	0.00167914761105222	0.00206800940853237	0	8.67214299607032	8.34645771258824	8.28124659342509	8.25278758291242	8.34648842396567	8.46447011550768	8.401113241522	0.88	0	0
AAR2	ENSG00000131043	AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]	0	PF05282	AAR2	AAR2 protein	0.0346088146071429	0.002956843	0	0	0	3.08131746868591	3.34441096380614	4.23575003250613	3.50528121145327	3.14998118286669	3.3910252887482	4.89764219408411	2.49487406666027	2.16751473762823	2.45808389034054	1.6430556767354	8.67214299607032	8.34645771258824	8.28124659342509	8.25278758291242	8.34648842396567	8.46447011550768	8.401113241522	1.348	0	0
AARS	ENSG00000090861	alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]	1	PF01411|PF07973|PF02272	tRNA-synt_2c|tRNA_SAD|DHHA1	tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain	3.53884822678571	2.6481988962963	0.360343366666667	0.08978648	0.311955005	5.8605159201423	6.28293272808686	7.39733664552275	7.14291371958955	5.90161995170051	6.43812148809367	6.37848387885155	4.75344270222367	3.35416181979704	3.18460629095575	3.46554191531202	9.65139350265595	9.64360254813001	9.6363012768374	9.59410662093416	9.64311176339125	9.65378522548192	9.67009909534081	0.617	0	0
ABCE1	ENSG00000164163	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	0	PF00005|PF04068|PF00037	ABC_tran|RLI|Fer4	ABC transporter|Possible Fer4-like domain in RNase L inhibitor, RLI|4Fe-4S binding domain	1.94945849142857	1.17780590592593	0	0	0.061131578	3.74953426766926	3.88438301472786	4.76108311166281	3.89417750110348	3.88284843539138	4.13932214008559	4.92335838936919	3.93738131517078	3.02418192267665	2.99525591005473	2.35238182501604	8.88851358030389	8.77184250971562	8.58225708959092	8.98969113211537	8.96936899233572	8.60663275552225	8.85417544087337	0.314	0	1
ABCF1	ENSG00000204574|ENSG00000206490|ENSG00000225989|ENSG00000231129|ENSG00000232169|ENSG00000236149|ENSG00000236342	ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]	0	PF00005|PF12848	ABC_tran|ABC_tran_Xtn	ABC transporter	1.54554315089286	0.99207709362963	0.131174906666667	0	0.0256660405	3.72517399936731	4.03662201492098	5.302335503282	4.53366301282309	3.75980564605809	4.06865361515093	5.61949517965975	3.83318769845833	2.75941482593412	3.11266674771331	1.94112109047824	8.16613855189849	7.95333556242505	8.14715758174466	7.75289291778269	8.23667669361084	8.09625625547477	8.06135674140925	0.612	0	0
ABT1	ENSG00000146109	activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]	0	NA	NA	NA	0.00214959571428571	0	0	0	0	2.60356819096519	2.84383816066173	4.24840200614344	3.18548917571939	2.67228276271048	2.88659891915176	4.22280456104526	2.44708819823753	2.20757206162827	2.47226214682507	1.11182187646113	8.67214299607032	8.34645771258824	8.28124659342509	8.25278758291242	8.34648842396567	8.46447011550768	8.401113241522	1.015	0	0
ACIN1	ENSG00000100813	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	1	PF16294|PF02037	RSB_motif|SAP	RNSP1-SAP18 binding (RSB) motif|SAP domain	3.9082615125	2.78847025740741	1.65918553333333	0.6843416	0.99916147	4.41891853412011	4.65879986805646	6.36061096754115	4.94107813303374	4.52717670657248	4.83997469943944	6.25409890083903	3.61393711590613	2.89754267761842	3.20722921561904	2.56369313082582	8.7184103208017	7.35739991855021	7.16053096540156	7.38959215006846	7.77851673686415	7.93448689227387	7.87617647625499	0.201	0	0
ACO1	ENSG00000122729	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	0	PF00694|PF00330	Aconitase_C|Aconitase	Aconitase C-terminal domain|Aconitase family (aconitate hydratase)	1.73248685032143	1.1650924882037	0.91294349	0	0.0535	2.98984201361529	3.1285639634541	4.28784902515229	3.18753973508029	2.6863324364157	3.36486094245398	4.37776233705482	2.32939850797775	1.94417422481241	1.98704192092081	1.11994316456333	9.29759524595714	9.2008888093889	9.18569775946711	9.02802330084639	9.25929089378682	9.20434886538957	9.21934285843697	0.932	0	0
ADAR	ENSG00000160710	adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1	PF02295|PF00035|PF02137	z-alpha|dsrm|A_deamin	Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	4.71528586071429	4.50506034444444	0.693768533333333	0.040925268	0.568793695	5.38919851960184	5.59242115632346	6.78871180833409	6.12495876261655	5.23353915199857	5.92265218771972	6.43111144100442	4.59428570782247	3.3510776767146	3.57886877976687	3.26262979964755	9.10112349898467	8.44065281337264	8.06813882439082	8.16962314803278	8.03500243584638	8.66543062110161	8.59713685945288	0.42	0	0
ADARB1	ENSG00000197381	adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	1	PF02137|PF00035	A_deamin|dsrm	Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif	3.85048325178571	3.09351316814815	0.0143518156666667	0	0	2.44345547881785	2.90563490461813	5.79176849794525	3.54596836910529	2.42733530683713	3.11361716178545	3.70370981721544	0.642815545700074	0.85811083895455	0.742739848228714	0.810036677017962	8.28968827165609	6.98720687520717	6.98998518515092	6.98782120559736	6.98998518515092	7.20474395076408	6.98998518515092	0.399	0	0
