Gene name	Ensembl ID	Gene description	Canonical RBD	Pfam ID	Protein Domains	Pfam Description	Excitatory Expression	Inhibitory Expression	Astrocyte Expression	Microglia Expression	Oligodendrocyte Expression	Amygdala expression	Basal ganglia expression	Cerebellum expression	Cortex expression	Hippocampus expression	Hypothalamus expression	Non-brain expression	Accelerated dorsal expression (D2)	NPC expression (D15)	Neural rosette expression (D21)	Neuron expression (D77)	CBC protein expression	MD protein expression	STR protein expression	AMY protein expression	HIP protein expression	V1C protein expression	DFC protein expression	LOEUF	Synapse localization	Autism susceptibility
A1CF	ENSG00000148584	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	1	PF00076|PF14709	RRM_1|DND1_DSRM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1	0	0	0	0	0	0	0.00646633269327101	0.0307654678725144	0.00929369193172435	0.00529905664470335	0.0119391135206567	0.020605317205086	0	0.00167914761105222	0.00206800940853237	0	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.88	0	0
AAAS	ENSG00000094914	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1	PF00400	WD40	WD domain, G-beta repeat	1.09476325053571	0.306322887981481	0.289253076666667	0	0.042342105	4.07621702161705	4.33826038180108	5.78068804823321	4.53386854933644	4.17248751551013	4.48511764510507	5.76195273776969	2.66402128109579	2.46087931294023	2.60929483075015	1.7930486542087	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.988	0	0
AAR2	ENSG00000131043	AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]	0	PF05282	AAR2	AAR2 protein	0.0346088146071429	0.002956843	0	0	0	3.08131746868591	3.34441096380614	4.23575003250613	3.50528121145327	3.14998118286669	3.3910252887482	4.89764219408411	2.49487406666027	2.16751473762823	2.45808389034054	1.6430556767354	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	1.348	0	0
AARS	ENSG00000090861	alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]	1	PF01411|PF07973|PF02272	tRNA-synt_2c|tRNA_SAD|DHHA1	tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain	3.53884822678571	2.6481988962963	0.360343366666667	0.08978648	0.311955005	5.8605159201423	6.28293272808686	7.39733664552275	7.14291371958955	5.90161995170051	6.43812148809367	6.37848387885155	4.75344270222367	3.35416181979704	3.18460629095575	3.46554191531202	9.65139350265595	9.64360254813001	9.6363012768374	9.59410662093416	9.64311176339125	9.65378522548192	9.67009909534081	0.617	0	0
AARS2	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]	0	PF01411|PF07973	tRNA-synt_2c|tRNA_SAD	tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain	0.0378945245589286	0.0546890875074074	0	0	0	2.80752803507594	2.56468667475332	4.47390053073706	3.51126561258255	2.76228077241641	2.69027628341282	3.53492068669559	2.37897268318685	2.17631048018613	2.27706184096408	1.55487173818168	7.39278061857234	7.17157716335055	7.49891517488706	7.16365698818137	7.40662121772572	7.39156953332913	7.35500264734131	0.835	0	0
AARSD1	ENSG00000266967	alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]	0	PF07973|PF01411	tRNA_SAD|tRNA-synt_2c	Threonyl and Alanyl tRNA synthetase second additional domain|tRNA synthetases class II (A)	0.170954269875	0.0423983019259259	0	0	0	4.55364311607809	4.99478561486963	6.04318809068604	5.33409626213523	4.57208323113691	4.99965280973278	5.41350607749378	0.197599868951662	0.142244898495411	0.140344796347999	0.24214922100788	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	1.108	0	0
AASDHPPT	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]	0	PF01648	ACPS	4'-phosphopantetheinyl transferase superfamily	2.90951155714286	1.79593109444444	0	0	0	5.07958291575269	5.27831006066098	6.03013740717437	5.49502673815754	5.1387161893259	5.60421665363695	4.39584427620252	2.08204913272312	2.49249070183921	2.80463171667144	3.27113771268871	9.04178698980958	9.17937270297027	9.29654229895497	8.85833434564795	9.23330893712643	9.2023065447563	9.33807006788705	0.717	0	0
AATF	ENSG00000275700|ENSG00000276072	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]	0	PF13339|PF08164	NA	NA	0.995614572160714	0.292423818759259	0.105962417	0.051207814	0.370441207	3.92297798698841	4.28130878113396	5.15328854797532	4.13558411886507	3.89551590725274	4.34557379155796	5.33194521582345	2.70064642221568	2.06406311625349	2.30365023271656	1.45660212963477	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.656212345679012	0	0
ABCB7	ENSG00000131269	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	0	PF00005|PF00664	ABC_tran|ABC_membrane	ABC transporter|ABC transporter transmembrane region	2.36056362589286	0.881232114555556	0.240900146666667	0.038807828	0.113162942	2.35250995788937	2.68140653482124	3.93233996714794	2.71699089440494	2.38268385125022	2.5747579000654	4.27963472248915	2.97465608354786	2.6628162304352	2.5642913875354	1.32287932845374	7.65636922868859	7.66180270763105	7.73392917057933	7.07865603224548	7.29266754147113	7.63165967054209	7.41992877611106	0.109	0	0
ABCC1	ENSG00000103222|ENSG00000278183	ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]	0	PF00005|PF00664	ABC_tran|ABC_membrane	ABC transporter|ABC transporter transmembrane region	2.66359932571429	2.75670284814815	1.04182798666667	0.6531028	1.2596984	1.55680215037449	1.94831489643476	3.41387904610537	2.25090095482101	1.75460962302563	2.38438971213361	4.35927517163798	2.18676407056705	2.12662363670789	1.89290284229521	0.927523420869656	8.57400810065684	8.44042402969291	8.41484941013355	8.36825548900657	8.4508720967658	8.4766429843374	8.44323291274071	0.397	0	0
