Gene name	Ensembl ID	Gene description	Canonical RBD	Pfam ID	Protein Domains	Pfam Description	Excitatory Expression	Inhibitory Expression	Astrocyte Expression	Microglia Expression	Oligodendrocyte Expression	Amygdala expression	Basal ganglia expression	Cerebellum expression	Cortex expression	Hippocampus expression	Hypothalamus expression	Non-brain expression	Accelerated dorsal expression (D2)	NPC expression (D15)	Neural rosette expression (D21)	Neuron expression (D77)	LOEUF	Synapse localization	Autism susceptibility
A1CF	ENSG00000148584	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]	1	PF00076|PF14709	RRM_1|DND1_DSRM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1	0	0	0	0	0	0	0.00646633269327101	0.0307654678725144	0.00929369193172435	0.00529905664470335	0.0119391135206567	0.020605317205086	0	0.00167914761105222	0.00206800940853237	0	0.88	0	0
AAAS	ENSG00000094914	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1	PF00400	WD40	WD domain, G-beta repeat	1.09476325053571	0.306322887981481	0.289253076666667	0	0.042342105	4.07621702161705	4.33826038180108	5.78068804823321	4.53386854933644	4.17248751551013	4.48511764510507	5.76195273776969	2.66402128109579	2.46087931294023	2.60929483075015	1.7930486542087	0.988	0	0
AARS	ENSG00000090861	alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]	1	PF01411|PF07973|PF02272	tRNA-synt_2c|tRNA_SAD|DHHA1	tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain	3.53884822678571	2.6481988962963	0.360343366666667	0.08978648	0.311955005	5.8605159201423	6.28293272808686	7.39733664552275	7.14291371958955	5.90161995170051	6.43812148809367	6.37848387885155	4.75344270222367	3.35416181979704	3.18460629095575	3.46554191531202	0.617	0	0
AC004381.6	ENSG00000005189	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	1	PF00076|PF00929	RRM_1|RNase_T	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Exonuclease	0.00602372378571429	0.0113204332962963	0	0	0	1.11261340165438	1.1114900966059	2.55831539651349	1.57519613580375	0.790766200355805	1.28350104834733	1.79960542245267	0.738524789883408	0.74040916493029	0.825812221618507	0.509820268758901	0.856	0	0
AC013461.1	ENSG00000091436	Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]	1	PF00536|PF07714	SAM_1|Pkinase_Tyr	SAM domain (Sterile alpha motif)|Protein tyrosine kinase	0.118604225857143	0.196853427962963	0.261970011333333	0	0.0206052625	2.0578626593887	2.22706330583585	1.74338355337827	1.95263549420085	2.12820430227023	2.35397532100765	4.57281086359803	0.684034065864409	0.979018381298252	1.00154220565998	0.641724996435244	0.681	0	0
ACIN1	ENSG00000100813	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	1	PF16294|PF02037	RSB_motif|SAP	RNSP1-SAP18 binding (RSB) motif|SAP domain	3.9082615125	2.78847025740741	1.65918553333333	0.6843416	0.99916147	4.41891853412011	4.65879986805646	6.36061096754115	4.94107813303374	4.52717670657248	4.83997469943944	6.25409890083903	3.61393711590613	2.89754267761842	3.20722921561904	2.56369313082582	0.201	0	0
ADAD1	ENSG00000164113	adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]	1	PF00035|PF02137	dsrm|A_deamin	Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511	0	0
ADAD2	ENSG00000140955	adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]	1	PF00035|PF02137	dsrm|A_deamin	Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	0	0	0	0	0	1.09853409560478	0.627616642819912	0.182586792611432	1.20667447787018	0.792339803847581	0.384180251483822	0.460494100088656	0.0661499204186051	0	0	0.00297933266278485	1.144	0	0
ADAR	ENSG00000160710	adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1	PF02295|PF00035|PF02137	z-alpha|dsrm|A_deamin	Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain	4.71528586071429	4.50506034444444	0.693768533333333	0.040925268	0.568793695	5.38919851960184	5.59242115632346	6.78871180833409	6.12495876261655	5.23353915199857	5.92265218771972	6.43111144100442	4.59428570782247	3.3510776767146	3.57886877976687	3.26262979964755	0.42	0	0
ADARB1	ENSG00000197381	adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	1	PF02137|PF00035	A_deamin|dsrm	Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif	3.85048325178571	3.09351316814815	0.0143518156666667	0	0	2.44345547881785	2.90563490461813	5.79176849794525	3.54596836910529	2.42733530683713	3.11361716178545	3.70370981721544	0.642815545700074	0.85811083895455	0.742739848228714	0.810036677017962	0.399	0	0
ADARB2	ENSG00000185736	adenosine deaminase, RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]	1	PF02137|PF00035	A_deamin|dsrm	Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif	0.338861584785714	8.13924994796296	0.678887653333333	0.15746453	5.41942815	3.25952559566043	2.68785014621668	2.46276956051554	3.15675902474162	3.26973486785964	2.94385758033505	0.313537264169244	0.102287544561647	0.0912062221109261	0.114982640875037	0.566396823751824	0.382	0	0
AEN	ENSG00000181026	apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]	1	PF00929	RNase_T	Exonuclease	0.602475106883929	0.229431863157407	0	0	0	2.36745494082898	2.17382142357375	2.49505808747003	2.5494621765721	2.26975431369889	3.34083995753501	3.86238195778618	3.81758655397215	2.98572988026445	2.605473616774	1.38496117617407	1.878	0	0
AGO1	ENSG00000092847	argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]	1	PF16488|PF08699|PF16486|PF16487|PF02170|PF02171	ArgoL2|ArgoL1|ArgoN|ArgoMid|PAZ|Piwi	Argonaute linker 2 domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|PAZ domain|Piwi domain	0.616540139142857	0.315162281388889	0.193148633333333	0	0.037176691	2.83586547620695	2.92479065521915	4.22586487644094	3.16354059559409	2.84718315739772	2.95507469075148	3.44115012327457	2.11014753925237	2.29624335939347	2.50906887331544	1.28501445542929	0.057	0	1
AGO2	ENSG00000123908	argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]	1	PF08699|PF02170|PF02171|PF16486|PF16487|PF16488	ArgoL1|PAZ|Piwi|ArgoN|ArgoMid|ArgoL2	Argonaute linker 1 domain|PAZ domain|Piwi domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain	2.6147997375	1.58000843351852	1.81304363333333	0.10816726	2.02260175	2.3387666844218	2.62467411453116	3.98810749330942	2.62110474920153	2.48428767896853	2.78237081950521	3.77763012059746	2.35451982863117	1.85210518597698	1.6585473605506	1.02205738078825	0.106	1	1
AGO3	ENSG00000126070	argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]	1	PF16486|PF08699|PF16487|PF16488|PF02170|PF02171	ArgoN|ArgoL1|ArgoMid|ArgoL2|PAZ|Piwi	N-terminal domain of argonaute|Argonaute linker 1 domain|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain|Piwi domain	5.89993972321429	4.99882467777778	3.2188707	0.95254	2.8030572	1.45536536284872	1.76482595441944	3.06401280003049	1.64423470329465	1.62346423665086	1.89630672885683	2.45816936421707	0.573671103626313	1.03281301948173	0.923730634175971	0.702585792496153	0.193	0	1
AGO4	ENSG00000134698	argonaute 4, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18424]	1	PF02171|PF08699|PF16486|PF16487|PF16488|PF02170	Piwi|ArgoL1|ArgoN|ArgoMid|ArgoL2|PAZ	Piwi domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain	4.91182143571429	4.18838590740741	1.24994646666667	1.0011566	0.34614143	2.72068341383207	2.95448947346188	4.48414457754581	3.11191602760414	2.82385327951333	2.97609046938889	4.18964272832092	1.04409523089758	1.50559926659627	1.62213593583047	1.56645309386181	0.218	0	1
AIMP1	ENSG00000164022	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 [Source:HGNC Symbol;Acc:HGNC:10648]	1	PF01588	tRNA_bind	Putative tRNA binding domain	2.05109715089286	1.17886712574074	0.0232140386666667	0	0.080710525	3.89774382862452	4.12738152893607	4.93276278338188	3.92871141255659	3.91342560781579	4.14031240347986	5.19490259372704	2.6055296387899	2.44734270558676	2.49336571840857	1.69117430908561	1.216	0	0
AKAP1	ENSG00000121057	A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]	1	PF00567|PF00013	TUDOR|KH_1	Tudor domain|KH domain	0.740024774910714	0.770507977962963	0.006312155	0	0	4.13036257322062	4.37745349014677	5.62921380077429	4.61229351573825	3.83349733685984	3.95157847023032	5.40758049133477	3.08212991528237	1.39399895187497	1.68491860018974	1.98446983506323	0.373	1	0
ALKBH8	ENSG00000137760	alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]	1	PF09004|PF13532|PF08241|PF00076	2OG-FeII_Oxy_2|Methyltransf_11|RRM_1	2OG-Fe(II) oxygenase superfamily|Methyltransferase domain|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	1.06463118555357	0.402168586851852	0	0	0	1.56430499536332	1.75963310150799	2.55284674361706	1.82751013289503	1.5414751908213	1.90708678879325	2.53055272566359	1.60093020770476	0.758428705619249	1.03463268377814	1.09482802631659	0.666	0	0
ALYREF	ENSG00000183684	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	1	PF13865|PF00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	0	0	0	0	0	4.43327997055726	4.48641512112504	5.2252074369435	4.57198618574168	4.28409210098934	4.65041418059592	5.78597681090034	4.82464172293013	4.30907391604846	4.66761282911605	2.11372430441351	0.36	0	0
ANKHD1	ENSG00000131503	ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24714]	1	PF12796|PF00013|PF13606	Ank_2|KH_1|Ank_3	Ankyrin repeats (3 copies)|KH domain|Ankyrin repeat	0.287119067339286	0.0150887527685185	0	0	0	3.34380859421437	3.55264143438809	5.40643632839132	3.74886908019765	3.37839786781393	3.55862275296213	5.36944554452865	0.2040035348634	0.130025833189128	0.106421594661593	0.141098152913172	0.112	0	0
ANKRD17	ENSG00000132466	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]	1	PF00013|PF12796	KH_1|Ank_2	KH domain|Ankyrin repeats (3 copies)	8.34526735714286	7.99376950740741	6.83053603333333	3.3052313	6.49477815	3.36382988359298	3.58817492922598	4.97156424584281	4.07346037136096	3.41060161292843	3.80451826988807	4.55163905673439	2.94001621220214	2.75940029650268	2.58859786595694	2.9305936563101	0.062	0	1
ANKS1A	ENSG00000064999	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	1	PF07647|PF00536|PF00640|PF12796	SAM_2|SAM_1|PID|Ank_2	SAM domain (Sterile alpha motif)|Phosphotyrosine interaction domain (PTB/PID)|Ankyrin repeats (3 copies)	5.83190830535714	5.60742379259259	1.79633466666667	5.071444	1.059269035	3.21471855115883	3.62763601855948	5.38602110993087	4.09388126514482	3.39246992819365	3.59185890498717	4.76231692078072	2.06765939414794	1.74079864333989	1.79096727180337	1.95184685989058	0.338	0	0
APOBEC1	ENSG00000111701	apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0.000474910388888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59	0	0
APOBEC2	ENSG00000124701	apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0.000519480535714286	0	0	0	0	0.125731763382267	0.150748124430117	0.34514767216597	0.128305544411937	0.163803984562853	0.161665861036866	0.586921311998705	0	0	0.0193347532817693	0	1.065	0	0
APOBEC3B	ENSG00000179750	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	0.115058819584514	0.107896994727911	0.0327500156799085	0.0843588983576764	0.0911228438326214	0.0986125150926681	0.705749705661917	0.675355628123929	0.173269256392983	0.176646090096276	0	1.358	0	0
APOBEC3C	ENSG00000244509	apolipoprotein B mRNA editing enzyme catalytic subunit 3C [Source:HGNC Symbol;Acc:HGNC:17353]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	1.67880208466598	1.47853181300034	0.83813370541855	1.14292964407669	1.5455137497308	1.68295976200888	4.75092802065037	1.43333068390204	0.832751443787517	0.624324125325227	0.0323462666262687	0.943	0	0
APOBEC3F	ENSG00000128394	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	0.470420247410845	0.419965434724183	0.256699107321589	0.36217697158334	0.406870775142497	0.527800008476874	1.68867273833914	0.235845426423283	0.160778592580311	0.147723670170723	0.03279425775114	1.019	0	0
APOBEC3G	ENSG00000239713	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	1.48723421584478	1.38242655295733	1.00423386210791	1.09922786577486	1.44297533428452	1.49991475220839	2.96922418203383	0.105839233523733	0.0267357419895993	0.0184341887952472	0.00416265655517251	1.667	0	0
APOBEC3H	ENSG00000100298	apolipoprotein B mRNA editing enzyme catalytic subunit 3H [Source:HGNC Symbol;Acc:HGNC:24100]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	0.192077987350725	0.225008950877757	0.671545652192698	0.174384685255112	0.242632990446649	0.298867080717058	0.827883233277605	0.206901831736601	0.0783093266136208	0.0380616162025086	0	1.017	0	0
APOBEC4	ENSG00000173627	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4 [Source:HGNC Symbol;Acc:HGNC:32152]	1	PF08210	APOBEC_N	APOBEC-like N-terminal domain	0	0	0	0	0	0	0.00833205519775463	0.108624011846121	0	0.0290314477366689	0.0237045940140837	0	0	0	0	0	1.47	0	0
ARAP1	ENSG00000186635	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	1	PF00169|PF00620|PF01412|PF00536|PF00788	PH|RhoGAP|ArfGap|SAM_1|RA	PH domain|RhoGAP domain|Putative GTPase activating protein for Arf|SAM domain (Sterile alpha motif)|Ras association (RalGDS/AF-6) domain	0.398967448492857	0.0429839677407407	0.814521476666667	0.49233097	0.37946213	3.87722400080208	3.82124590677484	4.92430182980419	3.86875589609521	3.89607805539706	4.20779916710343	5.1897534105209	1.78632146494255	1.15513379033334	1.20550869576874	0.648197653510202	0.353	0	0
