Table S2 Canonical RBDs used in RBPbase. Pfam_ID list from DOMAIN.BC file at https://git.embl.de/grp-hentze/grp_rbpbase/rbpbasebackend. Pfam_Name and Pfam_Description were added. ,,
Pfam_ID,Pfam_Name,Pfam_Description
PF00009,GTP_EFTU,Elongation factor Tu GTP binding domain
PF00013,KH_1,KH domain
PF00035,dsrm,Double-stranded RNA binding motif
PF00076,RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF00096,zf-C2H2,"Zinc finger, C2H2 type"
PF00097,zf-C3HC4,"Zinc finger, C3HC4 type (RING finger)"
PF00098,zf-CCHC,Zinc knuckle
PF00152,tRNA-synt_2,"tRNA synthetases class II (D, K and N)"
PF00181,Ribosomal_L2,"Ribosomal Proteins L2, RNA binding domain"
PF00270,DEAD,DEAD/DEAH box helicase
PF00271,Helicase_C,Helicase conserved C-terminal domain
PF00298,Ribosomal_L11,"Ribosomal protein L11, RNA binding domain"
PF00313,CSD,'Cold-shock' DNA-binding domain
PF00398,RrnaAD,Ribosomal RNA adenine dimethylase
PF00400,WD40,"WD domain, G-beta repeat"
PF00536,SAM_1,SAM domain (Sterile alpha motif)
PF00567,TUDOR,Tudor domain
PF00575,S1,S1 RNA binding domain
PF00579,tRNA-synt_1b,tRNA synthetases class I (W and Y)
PF00642,zf-CCCH,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF00658,PABP,"Poly-adenylate binding protein, unique domain"
PF00773,RNB,RNB domain
PF00806,PUF,Pumilio-family RNA binding repeat
PF00849,PseudoU_synth_2,RNA pseudouridylate synthase
PF00929,RNase_T,Exonuclease
PF01137,RTC,RNA 3'-terminal phosphate cyclase
PF01138,RNase_PH,"3' exoribonuclease family, domain 1"
PF01142,TruD,tRNA pseudouridine synthase D (TruD)
PF01189,Methyltr_RsmB-F,16S rRNA methyltransferase RsmB/F
PF01195,Pept_tRNA_hydro,Peptidyl-tRNA hydrolase
PF01269,Fibrillarin,Fibrillarin
PF01336,tRNA_anti-codon,OB-fold nucleic acid binding domain
PF01416,PseudoU_synth_1,tRNA pseudouridine synthase
PF01423,LSM,LSM domain
PF01424,R3H,R3H domain
PF01472,PUA,PUA domain
PF01479,S4,S4 domain
PF01480,PWI,PWI domain
PF01509,TruB_N,TruB family pseudouridylate synthase (N terminal domain)
PF01585,G-patch,G-patch domain
PF01588,tRNA_bind,Putative tRNA binding domain
PF01728,FtsJ,FtsJ-like methyltransferase
PF01746,tRNA_m1G_MT,tRNA (Guanine-1)-methyltransferase
PF01798,Nop,"snoRNA binding domain, fibrillarin"
PF01805,Surp,Surp module
PF01876,RNase_P_p30,RNase P subunit p30
PF01918,Alba,Alba
PF01926,MMR_HSR1,50S ribosome-binding GTPase
PF02005,TRM,"N2,N2-dimethylguanosine tRNA methyltransferase"
PF02037,SAP,SAP domain
PF02081,TrpBP,Tryptophan RNA-binding attenuator protein
PF02170,PAZ,PAZ domain
PF02171,Piwi,Piwi domain
PF02272,DHHA1,DHHA1 domain
PF02290,SRP14,Signal recognition particle 14kD protein
PF02599,CsrA,Global regulator protein family
PF02792,Mago_nashi,Mago nashi protein
PF02854,MIF4G,MIF4G domain
PF02926,THUMP,THUMP domain
PF03123,CAT_RBD,CAT RNA binding domain
PF03144,GTP_EFTU_D2,Elongation factor Tu domain 2
PF03159,XRN_N,XRN 5'-3' exonuclease N-terminus
PF03368,Dicer_dimer,Dicer dimerisation domain
PF03465,eRF1_3,eRF1 domain 3
PF03501,S10_plectin,Plectin/S10 domain
PF03725,RNase_PH_C,"3' exoribonuclease family, domain 2"
PF03726,PNPase,"Polyribonucleotide nucleotidyltransferase, RNA binding domain"
