"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"A1CF","ENSG00000148584","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]",1,"PF00076|PF14709","RRM_1|DND1_DSRM","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1"
"AAR2","ENSG00000131043","AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]",0,"PF05282","AAR2","AAR2 protein"
"AARS","ENSG00000090861","alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]",1,"PF01411|PF07973|PF02272","tRNA-synt_2c|tRNA_SAD|DHHA1","tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain"
"ABCE1","ENSG00000164163","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]",0,"PF00005|PF04068|PF00037","ABC_tran|RLI|Fer4","ABC transporter|Possible Fer4-like domain in RNase L inhibitor, RLI|4Fe-4S binding domain"
"ABCF1","ENSG00000204574|ENSG00000206490|ENSG00000225989|ENSG00000231129|ENSG00000232169|ENSG00000236149|ENSG00000236342","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",0,"PF00005|PF12848","ABC_tran|ABC_tran_Xtn","ABC transporter"
"ABT1","ENSG00000146109","activator of basal transcription 1 [Source:HGNC Symbol;Acc:HGNC:17369]",0,NA,NA,NA
"ACIN1","ENSG00000100813","apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]",1,"PF16294|PF02037","RSB_motif|SAP","RNSP1-SAP18 binding (RSB) motif|SAP domain"
"ACO1","ENSG00000122729","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]",0,"PF00694|PF00330","Aconitase_C|Aconitase","Aconitase C-terminal domain|Aconitase family (aconitate hydratase)"
"ADAR","ENSG00000160710","adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",1,"PF02295|PF00035|PF02137","z-alpha|dsrm|A_deamin","Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADARB1","ENSG00000197381","adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"ADARB2","ENSG00000185736","adenosine deaminase, RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"AEN","ENSG00000181026","apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]",1,"PF00929","RNase_T","Exonuclease"
"AFF4","ENSG00000072364","AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869]",0,"PF05110","AF-4","AF-4 proto-oncoprotein"
"AGO1","ENSG00000092847","argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]",1,"PF16488|PF08699|PF16486|PF16487|PF02170|PF02171","ArgoL2|ArgoL1|ArgoN|ArgoMid|PAZ|Piwi","Argonaute linker 2 domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|PAZ domain|Piwi domain"
