"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"A1CF","ENSG00000148584","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]",1,"PF00076|PF14709","RRM_1|DND1_DSRM","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1"
"AAAS","ENSG00000094914","aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]",1,"PF00400","WD40","WD domain, G-beta repeat"
"AARS","ENSG00000090861","alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]",1,"PF01411|PF07973|PF02272","tRNA-synt_2c|tRNA_SAD|DHHA1","tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain"
"AC004381.6","ENSG00000005189","Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]",1,"PF00076|PF00929","RRM_1|RNase_T","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|Exonuclease"
"AC013461.1","ENSG00000091436","Mitogen-activated protein kinase kinase kinase MLT  [Source:UniProtKB/Swiss-Prot;Acc:Q9NYL2]",1,"PF00536|PF07714","SAM_1|Pkinase_Tyr","SAM domain (Sterile alpha motif)|Protein tyrosine kinase"
"ACIN1","ENSG00000100813","apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]",1,"PF16294|PF02037","RSB_motif|SAP","RNSP1-SAP18 binding (RSB) motif|SAP domain"
"ADAD1","ENSG00000164113","adenosine deaminase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30713]",1,"PF00035|PF02137","dsrm|A_deamin","Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADAD2","ENSG00000140955","adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]",1,"PF00035|PF02137","dsrm|A_deamin","Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADAR","ENSG00000160710","adenosine deaminase, RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",1,"PF02295|PF00035|PF02137","z-alpha|dsrm|A_deamin","Adenosine deaminase z-alpha domain|Double-stranded RNA binding motif|Adenosine-deaminase (editase) domain"
"ADARB1","ENSG00000197381","adenosine deaminase, RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"ADARB2","ENSG00000185736","adenosine deaminase, RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]",1,"PF02137|PF00035","A_deamin|dsrm","Adenosine-deaminase (editase) domain|Double-stranded RNA binding motif"
"AEN","ENSG00000181026","apoptosis enhancing nuclease [Source:HGNC Symbol;Acc:HGNC:25722]",1,"PF00929","RNase_T","Exonuclease"
"AGO1","ENSG00000092847","argonaute 1, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3262]",1,"PF16488|PF08699|PF16486|PF16487|PF02170|PF02171","ArgoL2|ArgoL1|ArgoN|ArgoMid|PAZ|Piwi","Argonaute linker 2 domain|Argonaute linker 1 domain|N-terminal domain of argonaute|Mid domain of argonaute|PAZ domain|Piwi domain"
"AGO2","ENSG00000123908","argonaute 2, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:3263]",1,"PF08699|PF02170|PF02171|PF16486|PF16487|PF16488","ArgoL1|PAZ|Piwi|ArgoN|ArgoMid|ArgoL2","Argonaute linker 1 domain|PAZ domain|Piwi domain|N-terminal domain of argonaute|Mid domain of argonaute|Argonaute linker 2 domain"
"AGO3","ENSG00000126070","argonaute 3, RISC catalytic component [Source:HGNC Symbol;Acc:HGNC:18421]",1,"PF16486|PF08699|PF16487|PF16488|PF02170|PF02171","ArgoN|ArgoL1|ArgoMid|ArgoL2|PAZ|Piwi","N-terminal domain of argonaute|Argonaute linker 1 domain|Mid domain of argonaute|Argonaute linker 2 domain|PAZ domain|Piwi domain"
