UNIQUE,ID,Description,RBPBASE000000007.1,RBPBASE000000008.1,RBPBASE000000009.1,RBPBASE000000010.1,RBPBASE000000011.1,RBPBASE000000012.1,RBPBASE000000013.1,RBPBASE000000032.1,RBPBASE000000033.1,RBPBASE000000034.1,RBPBASE000000035.1,RBPBASE000000036.1,RBPBASE000000037.1,RBPBASE000000038.1,RBPBASE000000039.1,RBPBASE000000040.1,RBPBASE000000041.1,RBPBASE000000046.1,RBPBASE000000047.1,RBPBASE000000048.1,RBPBASE000000049.1,RBPBASE000000050.1,RBPBASE000000051.1,RBPBASE000000052.1,RBPBASE000000059.1,RBPBASE000000060.1,RBPBASE000000061.1,RBPBASE000000062.1,RBPBASE000000066.1,RBPBASE000000067.1,RBPANNO000000001.1,RBPANNO000000002.1,RBPANNO000000017.1,RBPANNO000000023.1,RBPANNO000000028.1,RBPANNO000000038.1
A1CF,ENSG00000148584,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086],FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AAAS,ENSG00000094914,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
AAR2,ENSG00000131043,AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AARS,ENSG00000090861,alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20],FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
AARS2,ENSG00000124608,"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
AARSD1,ENSG00000266967,alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
AASDHPPT,ENSG00000149313,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AATF,ENSG00000275700|ENSG00000276072,apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ABCB7,ENSG00000131269,ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ABCC1,ENSG00000103222|ENSG00000278183,ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
