"Ensembl ID","HGNC ID","Gene name","Gene description","Gene ID","UniProt AC","UniProt ID","Domain","GeneTag","GeneDesc","Function","Modification","PMID Function","Complex name","Target","Specific target","Product","PMID target","Comment","Excitatory Expression","Inhibitory Expression","Astrocyte Expression","Microglia Expression","Oligodendrocyte Expression","Amygdala expression","Basal ganglia expression","Cerebellum expression","Cortex expression","Hippocampus expression","Hypothalamus expression","Non-brain expression","Accelerated dorsal expression (D2)","NPC expression (D15)","Neural rosette expression (D21)","Neuron expression (D77)","LOEUF","Synapse localization","Autism susceptibility","predictions"
"ENSG00000171988","HGNC:12313","JMJD1C","jumonji domain containing 1C","221037","Q15652","JHD2C_HUMAN","JmjC PF02373 2381-2481, Pfam-B_14856 PB014856 2090-2122, Pfam-B_15350 PB015350 2148-2224, Pfam-B_16501 PB016501 1889-1927, Pfam-B_17329 PB017329 541-947, Pfam-B_19453 PB019453 1929-2023, Pfam-B_2770 PB002770 220-524, Pfam-B_63706 PB063706 1-119","#","#","Histone modification erase","Histone methylation","17549425","#","histone","H3K9me","H3K9","17549425","JMJD1A (TSGA), JMJD1B (5qNCA) and JMJD1C with the common domain architecture are histone H3K9 demethylases implicated in the nuclear hormone receptor-based transcriptional regulation.",9.18794324107143,8.83518916666667,6.73103066666667,7.901925,7.40698915,2.54810365665035,2.79726620567577,5.72572479932459,3.09050287392819,2.71753715001049,2.94422689431017,4.23269912582901,3.48093428859001,2.36513237038333,2.23487881989354,2.0387841160271,0.072,0,1,0.847726841707458
"ENSG00000048052","HGNC:14065","HDAC9","histone deacetylase 9","9734","Q9UKV0","HDAC9_HUMAN","HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624","#","#","Histone modification erase","Histone acetylation","12590135","#","histone","H3Kac, H4Kac","H3K, H4K","12590135","A new member of the Class II HDAC family, HDAC9. The enzyme contains a conserved deacetylase domain, represses reporter activity when recruited to a promoter, and utilizes histones H3 and H4 as substrates in vitro and in vivo.",8.47803500357143,8.44982665740741,1.14335851666667,9.977739,4.2203123,1.33969040705044,0.999742816686818,2.20411880067347,1.87471042126908,1.43087935898902,1.69274409195908,1.68694419273267,0.562788721321786,1.50777320650414,1.19569697924748,0.725945730440913,0.248,0,0,0.832387871041638
"ENSG00000177200","HGNC:25701","CHD9","chromodomain helicase DNA binding protein 9","80205","Q3L8U1","CHD9_HUMAN","BRK PF07533 2480-2530 2554-2599, Chromo PF00385 690-752 773-827, Helicase_C PF00271 1216-1296, Pfam-B_10410 PB010410 1-89, Pfam-B_1107 PB001107 2701-2729, Pfam-B_15117 PB015117 371-579, Pfam-B_24836 PB024836 1774-1901, Pfam-B_6192 PB006192 1530-1675, Pfam-B_7386 PB007386 231-369, Pfam-B_8182 PB008182 1460-1528, Pfam-B_8545 PB008545 91-229, SNF2_N PF00176 863-1150","#","#","Chromatin remodeling","#","16554032","#","DNA","#","#","16554032","PRIC320=CHD9 is similar to a recently described chromodomain helicase DNA-binding protein [27]. The recognition of this chromatin remodeling function and nuclear receptor coactivator function is suggestive of the multiple roles played by these nuclear receptor cofactors.",8.61050575,8.67438737037037,8.58508666666667,9.04648,6.61734875,2.03641893229156,2.26000758451164,4.07934397418616,2.34279081387602,2.03582446558833,2.34079011994344,3.60761438572688,1.45564619857358,1.68394716989516,1.950017027543,2.17344674538344,0.17,0,1,0.80533335533473
"ENSG00000116539","HGNC:19088","ASH1L","ash1 (absent, small, or homeotic)-like (Drosophila)","55870","Q9NR48","ASH1L_HUMAN","BAH PF01426 2661-2798, Bromodomain PF00439 2453-2538, PHD PF00628 2587-2631, Pfam-B_14208 PB014208 1818-1847, Pfam-B_18246 PB018246 2310-2419, Pfam-B_25586 PB025586 1473-1507, Pfam-B_4663 PB004663 1023-1054 1180-1377, Pfam-B_6310 PB006310 1509-1554, SET PF00856 2156-2261","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type","Histone modification write","Histone methylation","21239497","#","histone","H3K36","H3K36me","21239497","Human ASH1L specifically methylates histone H3 Lys-36. Implicates that there may be a regulatory mechanism of ASH1L histone methyltransferases.",7.47559536785714,7.43457367777778,6.92926643333333,6.1822996,6.7780371,3.3219266521916,3.46661602736399,5.25218855475818,4.03381941288397,3.33951511628185,3.49578468879382,4.44771142651469,1.34188623271047,1.38566242993623,1.43016606548549,1.88262190155129,0.062,0,1,0.80349313651285
"ENSG00000147162","HGNC:8127","OGT","O-linked N-acetylglucosamine (GlcNAc) transferase","8473","O15294","OGT1_HUMAN","Glyco_transf_41 PF13844 556-1024, TPR_1 PF00515 89-122 191-224 225-258 259-292 293-326 327-360 361-394 395-428 429-462, TPR_11 PF13414 87-154, TPR_8 PF13181 160-190","TTC","Tetratricopeptide (TTC) repeat domain containing","Histone modification write","Histone GlcNAcylation","22121020","NSL","histone","H2BS112","H2BS112GlcNa","22121020","Histone H2B is GlcNAcylated at residue S112 by OGT in vitro and in living cells. Histone GlcNAcylation fluctuated in response to extracellular glucose through the hexosamine biosynthesis pathway (HBP).",7.54139882678571,7.00870053148148,3.68087083333333,1.0375844,3.43782385,4.82442164624744,5.32517231169525,7.59150364657863,5.83756990885976,5.12395583194017,5.22101476287721,7.20525565066976,3.10862335669826,2.74784521822202,2.61696797348883,2.77193213436223,0.08,1,0,0.800693899987981
"ENSG00000124177","HGNC:19057","CHD6","chromodomain helicase DNA binding protein 6","#","Q8TD26","CHD6_HUMAN","BRK PF07533 2400-2441, Chromo PF00385 292-354 375-429, Helicase_C PF00271 817-897, Pfam-B_18962 PB018962 1-49, Pfam-B_23619 PB023619 1691-1909, Pfam-B_71010 PB071010 1911-1953, Pfam-B_761 PB000761 1271-1333 1361-1519, SNF2_N PF00176 464-751","#","#","Chromatin remodeling","#","12592387","#","chromatin","#","#","12592387","A novel gene encoding a protein with chromatin remodeling, helicase and DNA-binding motifs. This gene (CHD5=CHD6) is the fifth member of the CHD gene family identified in humans.",7.29354265357143,7.12643721666667,6.85849063333333,1.1145196,2.2631414,2.49031083276995,2.66484233156001,4.07225160652302,2.88771436837393,2.54029018490439,2.92248141097733,3.62796863374996,2.06620371386513,2.14283888690238,2.13492155234342,1.66184370718851,0.073,0,0,0.799705415297336
"ENSG00000204406","HGNC:20444","MBD5","methyl-CpG binding domain protein 5","55777","Q9P267","MBD5_HUMAN","Pfam-B_1400 PB001400 981-1140, Pfam-B_19258 PB019258 499-567, Pfam-B_41495 PB041495 438-497, Pfam-B_51737 PB051737 1-119, Pfam-B_5417 PB005417 121-219, Pfam-B_7705 PB007705 221-410","#","#","Chromatin remodeling","#","20700456","#","chromatin","#","#","20700456","MBD5 and MBD6 may contribute to the unique epigenetic machinery of neurons or to the global reorganization of chromatin during spermatogenesis.",8.98113330357143,8.71713092037037,8.48649866666667,4.5735292,6.9019858,0.940189307101907,1.02313893826203,2.25158276852369,1.36384950300223,0.991340253478454,1.15925457894369,1.5850442511239,0.306820574493825,0.458869865532297,0.458362347409318,0.681224601206216,0.136,0,1,0.796224385976391
"ENSG00000177565","HGNC:29529","TBL1XR1","transducin (beta)-like 1 X-linked receptor 1","79718","Q9BZK7","TBL1R_HUMAN","LisH PF08513 6-32, Pfam-B_2526 PB002526 471-510, WD40 PF00400 160-197 224-253 256-294 298-335 339-377 381-428 432-470","WDR","WD repeat domain containing","#","#","15601853","#","histone","#","#","#","Targets Ncor repressive complex to deacethylated histones.",7.46279817857143,6.64425481296296,3.2394491,2.0137901,4.7015953,3.92991405700769,3.95079498990414,4.96310877993665,4.15222398921129,3.94551406728707,3.95137331412364,4.77532977975049,2.84613109859217,2.99473388824985,2.95831258510276,2.4869398910707,0.106,0,1,0.789660164042312
"ENSG00000085224","HGNC:886","ATRX","alpha thalassemia/mental retardation syndrome X-linked","546","P46100","ATRX_HUMAN","Helicase_C PF00271 2076-2155, Pfam-B_12326 PB012326 1906-2016, Pfam-B_14952 PB014952 1242-1362, Pfam-B_16104 PB016104 2368-2490, Pfam-B_16400 PB016400 1424-1474, Pfam-B_17163 PB017163 1364-1422, Pfam-B_19720 PB019720 751-889, Pfam-B_24253 PB024253 1181-1239, Pfam-B_3534 PB003534 45-304, SNF2_N PF00176 1563-1889","#","#","Chromatin remodeling","#","9499421","#","histone","H3K9me2, H3K9me3, H3K4","#","9499421, 21666677","The characteristics of the helicase domains make the XNP protein a new member of the SNF2/SWI DNA helicase family. XNP could regulate gene expression by direct interaction with heterochromatin-associated proteins.A yeast two-hybrid analysis using XNP and several human heterochromatin-associated proteins showed a specific interaction between the XNP and the EZH2 proteins.",8.24985457142857,8.61413765185185,6.15705406666667,4.5786095,4.9023903,2.74807045017623,2.77849771734611,4.39991617986609,3.14626582436665,2.70128511164701,3.02596960690941,3.725610293876,2.0063545447418,1.81170791316978,2.16705294206889,2.40646243168672,0.119,0,1,0.786063073350582
"ENSG00000048649","HGNC:18118","RSF1","remodeling and spacing factor 1","51773","Q96T23","RSF1_HUMAN","PHD PF00628 893-941, WHIM1 PF15612 98-148, WHIM2 PF15613 150-182, WHIM3 PF15614 188-409","PHF","Zinc fingers, PHD-type","Histone modification read","#","12972596","RSF","histone","#","#","12972596","Recombinant RSF complex coimmunoprecipitates with core histones, and Rsf-1 alone also interacts with core histones.",7.0176094,6.57148632962963,3.66314953333333,1.044306,1.8519865,2.61233126514527,2.7048044748429,3.90993147514389,2.72884566030987,2.54043650399182,2.84106536413832,3.50832722928032,1.85695546568044,1.86794663375644,2.09423911255487,1.7172683544541,0.044,0,0,0.785734582154687
