"Gene name","Ensembl ID","Gene description","Contains canonical RBD","Pfam ID","Protein domains","Pfam Description"
"A1CF","ENSG00000148584","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]",1,"PF00076|PF14709","RRM_1|DND1_DSRM","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)|double strand RNA binding domain from DEAD END PROTEIN 1"
"AAAS","ENSG00000094914","aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]",1,"PF00400","WD40","WD domain, G-beta repeat"
"AAR2","ENSG00000131043","AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]",0,"PF05282","AAR2","AAR2 protein"
"AARS","ENSG00000090861","alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]",1,"PF01411|PF07973|PF02272","tRNA-synt_2c|tRNA_SAD|DHHA1","tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain|DHHA1 domain"
"AARS2","ENSG00000124608","alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]",0,"PF01411|PF07973","tRNA-synt_2c|tRNA_SAD","tRNA synthetases class II (A)|Threonyl and Alanyl tRNA synthetase second additional domain"
"AARSD1","ENSG00000266967","alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]",0,"PF07973|PF01411","tRNA_SAD|tRNA-synt_2c","Threonyl and Alanyl tRNA synthetase second additional domain|tRNA synthetases class II (A)"
"AASDHPPT","ENSG00000149313","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]",0,"PF01648","ACPS","4'-phosphopantetheinyl transferase superfamily"
"AATF","ENSG00000275700|ENSG00000276072","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]",0,"PF13339|PF08164",NA,NA
"ABCB7","ENSG00000131269","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]",0,"PF00005|PF00664","ABC_tran|ABC_membrane","ABC transporter|ABC transporter transmembrane region"
"ABCC1","ENSG00000103222|ENSG00000278183","ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]",0,"PF00005|PF00664","ABC_tran|ABC_membrane","ABC transporter|ABC transporter transmembrane region"
"ABCC4","ENSG00000125257","ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]",0,"PF00005|PF00664","ABC_tran|ABC_membrane","ABC transporter|ABC transporter transmembrane region"
"ABCD3","ENSG00000117528","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]",0,"PF00005|PF06472","ABC_tran","ABC transporter"
"ABCE1","ENSG00000164163","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]",0,"PF00005|PF04068|PF00037","ABC_tran|RLI|Fer4","ABC transporter|Possible Fer4-like domain in RNase L inhibitor, RLI|4Fe-4S binding domain"
"ABCF1","ENSG00000204574|ENSG00000206490|ENSG00000225989|ENSG00000231129|ENSG00000232169|ENSG00000236149|ENSG00000236342","ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]",0,"PF00005|PF12848","ABC_tran|ABC_tran_Xtn","ABC transporter"
"ABCF2","ENSG00000033050","ATP binding cassette subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:71]",0,"PF00005|PF12848","ABC_tran|ABC_tran_Xtn","ABC transporter"
"ABCF3","ENSG00000161204","ATP binding cassette subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:72]",0,"PF12848|PF00005","ABC_tran_Xtn|ABC_tran","ABC transporter"
"ABHD12","ENSG00000100997","abhydrolase domain containing 12 [Source:HGNC Symbol;Acc:HGNC:15868]",0,"PF12146|PF00561","Hydrolase_4|Abhydrolase_1","Serine aminopeptidase, S33|alpha/beta hydrolase fold"
